# Ontologie canonique des ingredients. nom_fr et prix_eur_kg
# sont remplis par les etapes 04 (traduction) et 05 (prix).
id,nom_fr,nom_en,categorie,g_par_ml,g_par_piece,g_ml_defaut,g_piece_defaut,ml_jus,conservation_j,fond_placard,allergenes,prix_eur_kg,prix_cure,occurrences
spinach,,spinach,legume,,,0.60,120,,7,0,,6.0,1,13238
bay_leaf,,bay leaf,herbe,,0.2,0.25,5,,5,0,,40.0,1,13157
walnut,,walnut,oleagineux,0.5,,0.50,1,,180,0,fruits_a_coque,15.0,1,12811
almond,,almond,oleagineux,,,0.50,1,,180,0,fruits_a_coque,16.0,1,12583
wine_white,,white wine,alcool,0.99,,0.98,750,,730,0,,6.0,1,12272
chili_flakes,,red pepper flake,epice,,,0.50,2,,730,1,,18.0,1,11987
lime_juice,,lime juice,boisson,1.04,65.0,1.00,250,30.0,90,0,,5.0,1,11858
egg_white,,egg white,oeuf,,33.0,1.03,50,,28,0,oeuf,6.0,1,11703
chicken,,chicken,volaille,,,0.70,150,,2,0,,7.5,1,11673
margarine,,margarine,matiere_grasse,0.96,,0.92,113,,120,1,,3.5,1,11617
cocoa,,cocoa powder,epice,0.42,,0.50,2,,730,1,,14.0,1,11394
vinegar_white,,vinegar,condiment,1.01,,1.05,15,,180,1,,1.2,1,11293
mustard,,mustard,condiment,1.05,,1.05,15,,180,1,,5.0,1,11280
mozzarella,,mozzarella cheese,fromage,0.45,,0.45,30,,21,0,lactose,9.0,1,11262
chocolate_chips,,semi-sweet chocolate chip,sucrant,0.72,,0.85,20,,730,1,,11.0,1,11141
breadcrumbs,,breadcrumb,pain,0.45,30.0,0.25,40,,4,0,gluten,3.5,1,11118
egg_yolk,,egg yolk,oeuf,,17.0,1.03,50,,28,0,oeuf,8.0,1,10860
mustard_dijon,,dijon mustard,condiment,1.05,,1.05,15,,180,1,,7.0,1,10777
olive,,black olive,legume,,,0.60,120,,7,0,,9.0,1,10730
corn,,corn,legume,,,0.60,120,,7,0,,2.5,1,10677
apple,,apple,fruit,,180.0,0.65,150,,7,0,,2.5,1,10496
orange_juice,,orange juice,fruit,1.04,150.0,0.65,150,70.0,7,0,,1.8,1,10491
clove,,clove,epice,,,0.50,2,,730,1,,35.0,1,10432
jalapeno,,jalapeno pepper,epice,,15.0,0.50,2,,730,1,,12.0,1,9939
canola_oil,,canola oil,matiere_grasse,0.92,,0.92,113,,120,1,,3.0,1,9808
zucchini,,zucchini,legume,,200.0,0.60,120,,7,0,,2.5,1,9656
tomato_sauce,,tomato sauce,legume,1.05,120.0,0.60,120,,7,0,,2.5,1,9595
raisin,,raisin,fruit,0.62,,0.65,150,,7,0,,6.0,1,9543
shrimp,,shrimp,poisson,,,0.70,150,,2,0,crustaces,20.0,1,9530
tomato_paste,,tomato paste,legume,1.1,120.0,0.60,120,,7,0,,5.0,1,9402
banana,,banana,fruit,,120.0,0.65,150,,7,0,,1.8,1,9375
shallot,,shallot,legume,,40.0,0.60,120,,7,0,,4.5,1,9365
coconut,,coconut,oleagineux,0.35,,0.50,1,,180,0,,8.0,1,9315
buttermilk,,buttermilk,laitier,1.03,113.0,1.02,200,,10,0,lactose,1.6,1,9213
ketchup,,ketchup,condiment,1.14,,1.05,15,,180,1,,3.5,1,9190
lemon_zest,,lemon zest,fruit,,100.0,0.65,150,45.0,7,0,,3.0,1,8981
rosemary,,rosemary,herbe,,,0.25,5,,5,0,,25.0,1,8690
strawberry,,strawberry,fruit,,,0.65,150,,7,0,,8.0,1,8406
yogurt,,yogurt,laitier,1.03,,1.02,200,,10,0,lactose,2.5,1,8342
oats,,rolled oat,pain,0.4,,0.25,40,,4,0,gluten,2.2,1,8060
vinegar_cider,,cider vinegar,condiment,1.01,,1.05,15,,180,1,,3.0,1,8047
broccoli,,broccoli,legume,,,0.60,120,,7,0,,3.0,1,7745
dill,,dill,herbe,,,0.25,5,,5,0,,28.0,1,7647
coriander,,coriander,epice,,,0.50,2,,730,1,,16.0,1,7531
lime,,lime,fruit,,65.0,0.65,150,30.0,7,0,,6.0,1,7485
peanut_butter,,peanut butter,oleagineux,1.08,113.0,0.50,1,,180,0,lactose;arachide,7.0,1,7335
vinegar_balsamic,,balsamic vinegar,condiment,1.01,,1.05,15,,180,1,,8.0,1,7244
onion_powder,,onion powder,epice,,150.0,0.50,2,,730,1,,12.0,1,7100
rice_white,,rice,cereale,0.85,,0.70,100,,365,1,,2.0,1,7045
sesame_oil,,sesame oil,matiere_grasse,0.92,,0.92,113,,120,1,,12.0,1,7021
hot_sauce,,tabasco sauce,condiment,,,1.05,15,,180,1,,14.0,1,6870
yeast,,yeast,patisserie,,,0.60,10,,365,1,,15.0,1,6785
vinegar_red_wine,,red wine vinegar,condiment,1.01,,1.05,15,,180,1,,4.0,1,6648
chive,,chive,herbe,,,0.25,5,,5,0,,30.0,1,6639
beef_broth,,beef broth,bouillon,1.0,,1.00,250,,365,1,,1.5,1,6607
chili_green,,green chili,epice,,,0.50,2,,730,1,,8.0,1,6437
shortening,,shortening,matiere_grasse,0.92,,0.92,113,,120,1,,4.0,1,6402
avocado,,avocado,fruit,,200.0,0.65,150,,7,0,,7.0,1,6378
bean_black,,black bean,legumineuse,,,0.75,150,,730,1,,3.0,1,6202
cucumber,,cucumber,legume,,300.0,0.60,120,,7,0,,2.0,1,6196
allspice,,allspice,epice,,,0.50,2,,730,1,,30.0,1,6157
pineapple,,pineapple,fruit,,180.0,0.65,150,,7,0,,2.5,1,6128
pepper_white,,white pepper,epice,,,0.50,2,,730,1,,26.0,1,6116
whipped_topping,,cool whip,autre,,,0.70,100,,90,0,,6.0,1,5925
curry_powder,,curry powder,epice,,,0.50,2,,730,1,,15.0,1,5868
cooking_spray,,cooking spray,transforme,,,0.80,200,,180,0,,20.0,1,5851
cream,,cream,laitier,0.99,,1.02,200,,10,0,lactose,4.0,1,5841
vegetable_broth,,vegetable broth,bouillon,1.0,,1.00,250,,365,1,,1.5,1,5699
cranberry,,cranberry,fruit,,,0.65,150,,7,0,,12.0,1,5605
salsa,,salsa,condiment,,,1.05,15,,180,1,,6.0,1,5537
cheese,,cheese,fromage,0.45,,0.45,30,,21,0,lactose,12.0,1,5436
pea,,pea,legumineuse,,,0.75,150,,730,1,,2.8,1,5391
nut,,nut,oleagineux,0.5,,0.50,1,,180,0,,14.0,0,5373
milk_evaporated,,evaporated milk,laitier,1.07,,1.02,200,,10,0,lactose,3.0,1,5363
orange,,orange,fruit,,150.0,0.65,150,70.0,7,0,,2.2,1,5360
sesame_seed,,sesame seed,oleagineux,,,0.50,1,,180,0,,8.0,1,5325
garlic_salt,,garlic salt,legume,1.22,50.0,0.60,120,,7,0,,8.0,1,5294
monterey_jack,,monterey jack cheese,fromage,0.45,,0.45,30,,21,0,lactose,14.0,1,5196
wine_red,,red wine,alcool,0.99,,0.98,750,,730,0,,6.0,1,5192
half_and_half,,half-and-half,laitier,,,1.02,200,,10,0,,3.0,1,5167
blueberry,,blueberry,fruit,,,0.65,150,,7,0,,14.0,1,5156
turmeric,,turmeric,epice,,,0.50,2,,730,1,,14.0,1,5021
tortilla,,flour tortilla,pain,0.53,45.0,0.25,40,,4,0,gluten,6.0,1,5017
bell_pepper,,bell pepper,epice,,150.0,0.50,2,,730,1,,4.0,1,4932
ham,,ham,viande,,,0.70,150,,3,0,,14.0,1,4893
milk_condensed,,condensed milk,laitier,1.28,,1.02,200,,10,0,lactose,5.0,1,4766
italian_seasoning,,italian seasoning,epice,,,0.50,2,,730,1,,20.0,1,4742
almond_extract,,almond extract,patisserie,,,0.60,10,,365,1,fruits_a_coque,60.0,1,4671
ice,,ice cube,boisson,,,1.00,250,,90,0,,0.01,1,4666
soup_mushroom,,cream of mushroom soup,legume,0.99,20.0,0.60,120,,7,0,lactose,4.0,1,4654
turkey,,turkey,volaille,,,0.70,150,,2,0,,10.0,1,4625
bean_green,,green bean,legumineuse,,,0.75,150,,730,1,,4.0,1,4608
chocolate,,chocolate,sucrant,,,0.85,20,,730,1,,12.0,1,4559
coconut_milk,,coconut milk,oleagineux,0.35,,0.50,1,,180,0,,3.5,1,4518
sweet_potato,,sweet potato,legume,,200.0,0.60,120,,7,0,,2.8,1,4517
lettuce,,lettuce,legume,,,0.60,120,,7,0,,4.0,1,4475
corn_syrup,,corn syrup,sucrant,1.33,,0.85,20,,730,1,,4.0,1,4407
maple_syrup,,maple syrup,sucrant,1.32,,0.85,20,,730,1,,20.0,1,4346
sage,,sage,herbe,,,0.25,5,,5,0,,30.0,1,4311
peanut,,peanut,oleagineux,0.5,,0.50,1,,180,0,arachide,8.0,1,4279
swiss_cheese,,swiss cheese,fromage,0.45,,0.45,30,,21,0,lactose,14.0,1,4239
mint,,mint,herbe,,,0.25,5,,5,0,,28.0,1,4214
applesauce,,applesauce,fruit,,180.0,0.65,150,,7,0,,2.5,1,4197
sauce,,sauce,condiment,,,1.05,15,,180,1,,6.0,0,4154
molasses,,molasses,sucrant,1.45,,0.85,20,,730,1,,6.0,1,4144
feta,,feta cheese,fromage,0.45,,0.45,30,,21,0,lactose,11.0,1,4142
cabbage,,cabbage,legume,,,0.60,120,,7,0,,1.5,1,3968
leek,,leek,legume,,200.0,0.60,120,,7,0,,2.5,1,3956
ricotta,,ricotta cheese,fromage,0.45,,0.45,30,,21,0,lactose,6.5,1,3938
seasoned_salt,,seasoning salt,epice,1.22,,0.50,2,,730,1,,9.0,1,3807
pork,,pork,viande,,,0.70,150,,3,0,,9.0,1,3777
soup_chicken,,cream of chicken soup,volaille,0.99,,0.70,150,,2,0,lactose,4.0,1,3763
tomato_cherry,,cherry tomato,legume,,15.0,0.60,120,,7,0,,5.5,1,3732
pumpkin,,pumpkin,legume,,,0.60,120,,7,0,,1.8,1,3558
raspberry,,raspberry,fruit,,,0.65,150,,7,0,,18.0,1,3555
orange_zest,,orange zest,fruit,,150.0,0.65,150,70.0,7,0,,2.2,1,3414
peanut_oil,,peanut oil,oleagineux,0.92,,0.50,1,,180,0,arachide,4.5,1,3410
salmon,,salmon fillet,poisson,,,0.70,150,,2,0,poisson,22.0,1,3406
caper,,caper,legume,,,0.60,120,,7,0,,18.0,1,3378
bread,,bread,pain,,30.0,0.25,40,,4,0,gluten,3.0,1,3377
pine_nut,,pine nut,oleagineux,0.5,,0.50,1,,180,0,fruits_a_coque,55.0,1,3355
cinnamon_stick,,cinnamon stick,epice,,2.6,0.50,2,,730,1,,22.0,1,3311
chicken_thigh,,chicken thigh,volaille,,120.0,0.70,150,,2,0,,7.0,1,3241
cornmeal,,cornmeal,cereale,0.68,,0.70,100,,365,1,,2.5,1,3155
peach,,peach,fruit,,150.0,0.65,150,,7,0,,3.5,1,3132
vinegar_rice,,rice vinegar,condiment,1.01,,1.05,15,,180,1,,5.0,1,3019
whipped_cream,,whipped cream,laitier,0.99,,1.02,200,,10,0,lactose,8.0,1,2991
low_sodium_chicken_broth,,low sodium chicken broth,volaille,1.0,,0.70,150,,2,0,,9.0,0,2980
cottage_cheese,,cottage cheese,fromage,0.45,,0.45,30,,21,0,lactose,4.5,1,2977
eggplant,,eggplant,legume,,450.0,0.60,120,,7,0,oeuf,3.2,1,2954
tarragon,,tarragon,herbe,,,0.25,5,,5,0,,35.0,1,2893
bean_kidney,,kidney bean,legumineuse,,,0.75,150,,730,1,,2.8,1,2891
vinegar_white_wine,,white wine vinegar,condiment,1.01,,1.05,15,,180,1,,4.0,1,2877
ice_cream,,vanilla ice cream,patisserie,0.99,,0.60,10,,365,1,lactose,5.0,1,2857
asparagus,,asparagus,legume,,,0.60,120,,7,0,,9.0,1,2813
pasta_spaghetti,,spaghetti,cereale,,,0.70,100,,365,1,gluten,1.8,1,2749
cream_of_tartar,,cream of tartar,laitier,0.99,,1.02,200,,10,0,lactose,25.0,1,2677
pineapple_juice,,pineapple juice,fruit,1.04,180.0,0.65,150,,7,0,,2.0,1,2665
fish_sauce,,fish sauce,condiment,,,1.05,15,,180,1,poisson,8.0,1,2638
bbq_sauce,,barbecue sauce,condiment,,,1.05,15,,180,1,,5.0,1,2619
mint_leaf,,mint leaf,herbe,,,0.25,5,,5,0,,25.0,0,2584
artichoke,,artichoke heart,legume,,,0.60,120,,7,0,,9.0,1,2583
chickpea,,chickpea,legumineuse,,,0.75,150,,730,1,,2.8,1,2554
date,,date,fruit,,,0.65,150,,7,0,,3.5,0,2527
marjoram,,marjoram,herbe,,,0.25,5,,5,0,,32.0,1,2492
pork_chop,,pork chop,viande,,,0.70,150,,3,0,,10.0,1,2473
sherry,,sherry,alcool,,,0.98,750,,730,0,,12.0,1,2467
beer,,beer,alcool,,,0.98,750,,730,0,,3.0,1,2456
cardamom,,cardamom,epice,,,0.50,2,,730,1,,60.0,1,2450
horseradish,,horseradish,condiment,,,1.05,15,,180,1,,12.0,1,2429
tortilla_corn,,corn tortilla,pain,,45.0,0.25,40,,4,0,gluten,6.0,1,2426
pasta,,pasta,cereale,,,0.70,100,,365,1,gluten,1.8,1,2410
apricot,,apricot,fruit,,,0.65,150,,7,0,,4.5,1,2394
graham_crumbs,,graham cracker crumb,pain,,,0.25,40,,4,0,gluten,8.0,1,2385
cauliflower,,cauliflower,legume,,,0.60,120,,7,0,,2.5,1,2364
flour_bread,,bread flour,cereale,0.55,30.0,0.70,100,,365,1,gluten,1.6,1,2307
cilantro_leaf,,cilantro leaf,herbe,,,0.25,5,,5,0,,25.0,0,2297
apple_juice,,apple juice,fruit,1.04,180.0,0.65,150,,7,0,,1.5,1,2240
rice_brown,,brown rice,cereale,0.85,,0.70,100,,365,1,,2.8,1,2227
brandy,,brandy,alcool,,,0.98,750,,730,0,,28.0,1,2189
splenda_sugar_substitute,,splenda sugar substitute,transforme,0.85,,0.80,200,,180,0,,7.0,0,2186
celery_seed,,celery seed,legume,,,0.60,120,,7,0,,25.0,1,2185
processed_cheese,,velveeta cheese,fromage,0.45,,0.45,30,,21,0,lactose,8.0,1,2159
tofu,,firm tofu,legumineuse,,,0.75,150,,730,1,soja,8.0,1,2150
water_chestnut,,water chestnut,boisson,1.0,,1.00,250,,90,0,,5.0,1,2127
long_grain_rice,,long grain rice,cereale,0.85,,0.70,100,,365,1,,2.5,0,2113
pasta_macaroni,,elbow macaroni,cereale,,,0.70,100,,365,1,gluten,1.8,1,2110
cashew,,cashew,oleagineux,,,0.50,1,,180,0,fruits_a_coque,14.0,0,2080
marshmallow,,marshmallow,sucrant,,,0.85,20,,730,1,,8.0,1,2079
bean_pinto,,pinto bean,legumineuse,,,0.75,150,,730,1,,2.8,1,2067
taco_seasoning,,taco seasoning,epice,,,0.50,2,,730,1,,15.0,1,2055
sausage_italian,,italian sausage,viande,,,0.70,150,,3,0,,11.0,1,2043
tomato_sundried,,sun- tomato,legume,,120.0,0.60,120,,7,0,,18.0,1,2021
chili_sauce,,chili sauce,epice,,,0.50,2,,730,1,,8.0,1,1986
rum,,rum,alcool,,,0.98,750,,730,0,,25.0,1,1980
pork_tenderloin,,pork tenderloin,viande,,,0.70,150,,3,0,,14.0,1,1965
white_rice,,white rice,cereale,0.85,,0.70,100,,365,1,,2.5,0,1915
egg_noodle,,egg noodle,cereale,,50.0,0.70,100,,365,1,gluten;oeuf,2.5,0,1911
stewed_tomato,,stewed tomato,legume,,120.0,0.60,120,,7,0,,3.0,0,1904
white_bread,,white bread,pain,,30.0,0.25,40,,4,0,gluten,4.0,0,1893
button_mushroom,,button mushroom,legume,,20.0,0.60,120,,7,0,,3.0,0,1890
spaghetti_sauce,,spaghetti sauce,cereale,,,0.70,100,,365,1,gluten,2.5,0,1869
romaine_lettuce,,romaine lettuce,legume,,,0.60,120,,7,0,,3.0,0,1865
black_peppercorn,,black peppercorn,epice,,,0.50,2,,730,1,,20.0,0,1863
yellow_bell_pepper,,yellow bell pepper,epice,,150.0,0.50,2,,730,1,,20.0,0,1857
sherry_wine,,sherry wine,alcool,0.99,,0.98,750,,730,0,,8.0,0,1856
cake_flour,,cake flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,1851
golden_raisin,,golden raisin,fruit,0.62,,0.65,150,,7,0,,3.5,0,1838
tortilla_chip,,tortilla chip,pain,,45.0,0.25,40,,4,0,gluten,4.0,0,1827
french_bread,,french bread,pain,,30.0,0.25,40,,4,0,gluten,4.0,0,1805
onion_soup_mix,,onion soup mix,legume,,150.0,0.60,120,,7,0,,3.0,0,1798
butternut_squash,,butternut squash,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose,5.0,0,1786
crabmeat,,crabmeat,viande,,,0.70,150,,3,0,crustaces,12.0,0,1780
flax_seed,,flax seed,oleagineux,,,0.50,1,,180,0,,14.0,0,1752
sunflower_seed,,sunflower seed,oleagineux,,,0.50,1,,180,0,,14.0,0,1751
mango,,mango,fruit,,,0.65,150,,7,0,,4.5,1,1749
yellow_cake_mix,,yellow cake mix,transforme,,,0.80,200,,180,0,,7.0,0,1747
orange_rind,,orange rind,fruit,,150.0,0.65,150,70.0,7,0,,3.5,0,1746
unbleached_all_purpose_flour,,unbleached all-purpose flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,1745
bittersweet_chocolate,,bittersweet chocolate,sucrant,,,0.85,20,,730,1,,6.0,0,1742
pumpkin_pie_spice,,pumpkin pie spice,legume,,,0.60,120,,7,0,,3.0,0,1740
low_sodium_soy_sauce,,low sodium soy sauce,condiment,1.15,,1.05,15,,180,1,soja,6.0,0,1730
hoisin_sauce,,hoisin sauce,condiment,,,1.05,15,,180,1,,6.0,0,1719
pear,,pear,fruit,,180.0,0.65,150,,7,0,,2.8,1,1713
pineapple_chunk,,pineapple chunk,fruit,,180.0,0.65,150,,7,0,,3.5,0,1709
garam_masala,,garam masala,epice,,,0.50,2,,730,1,,22.0,1,1702
pumpkin_puree,,pumpkin puree,legume,,,0.60,120,,7,0,,3.0,0,1701
poppy_seed,,poppy seed,oleagineux,,,0.50,1,,180,0,,14.0,0,1692
cracked_black_pepper,,cracked black pepper,epice,,,0.50,2,,730,1,,20.0,0,1690
maraschino_cherry,,maraschino cherry,fruit,,,0.65,150,,7,0,,3.5,0,1688
italian_parsley,,italian parsley,herbe,,,0.25,5,,5,0,,25.0,0,1685
tomato_puree,,tomato puree,legume,,120.0,0.60,120,,7,0,,3.0,0,1669
chicken_bouillon_cube,,chicken bouillon cube,bouillon,,,1.00,250,,365,1,,1.5,0,1654
caraway_seed,,caraway seed,oleagineux,,,0.50,1,,180,0,,14.0,0,1650
self_rising_flour,,self-rising flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,1645
fennel_seed,,fennel seed,epice,,,0.50,2,,730,1,,20.0,0,1644
baking_potato,,baking potato,patisserie,,170.0,0.60,10,,365,1,,15.0,0,1634
soymilk,,soymilk,laitier,1.03,,1.02,200,,10,0,lactose;soja,3.0,0,1633
mixed_vegetable,,mixed vegetable,transforme,,,0.80,200,,180,0,,7.0,0,1604
tuna,,tuna,poisson,,,0.70,150,,2,0,poisson,18.0,0,1594
sweet_red_pepper,,sweet red pepper,epice,,,0.50,2,,730,1,,20.0,0,1590
red_chili,,red chili,epice,,,0.50,2,,730,1,,20.0,0,1588
yellow_cornmeal,,yellow cornmeal,cereale,0.68,,0.70,100,,365,1,,2.5,0,1586
tomato_juice,,tomato juice,legume,1.04,120.0,0.60,120,,7,0,,3.0,0,1579
cherry,,cherry,fruit,,,0.65,150,,7,0,,3.5,0,1575
blue_cheese,,blue cheese,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,1558
cornflour,,cornflour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,1555
poultry_seasoning,,poultry seasoning,epice,,,0.50,2,,730,1,,20.0,0,1552
panko_breadcrumb,,panko breadcrumb,pain,0.45,30.0,0.25,40,,4,0,gluten,4.0,0,1552
bean_sprout,,bean sprout,legume,,,0.60,120,,7,0,,3.0,0,1547
pecan_half,,pecan half,oleagineux,,,0.50,1,,180,0,fruits_a_coque,14.0,0,1543
vanilla_yogurt,,vanilla yogurt,patisserie,1.03,,0.60,10,,365,1,lactose,15.0,0,1540
celery_salt,,celery salt,legume,1.22,,0.60,120,,7,0,,3.0,0,1535
hamburger,,hamburger,viande,,,0.70,150,,3,0,,12.0,0,1533
onion_flake,,onion flake,legume,,150.0,0.60,120,,7,0,,3.0,0,1533
garbanzo_bean,,garbanzo bean,legumineuse,,,0.75,150,,730,1,,3.0,0,1532
sausage,,sausage,viande,,,0.70,150,,3,0,,12.0,0,1531
parmigiano_reggiano_cheese,,parmigiano-reggiano cheese,fromage,0.45,50.0,0.45,30,,21,0,lactose;oeuf,13.0,0,1525
lasagna_noodle,,lasagna noodle,cereale,,,0.70,100,,365,1,gluten,2.5,0,1514
reduced_sodium_chicken_broth,,reduced-sodium chicken broth,volaille,1.0,,0.70,150,,2,0,,9.0,0,1511
goat_cheese,,goat cheese,fromage,0.45,,0.45,30,,21,0,gluten;lactose,13.0,0,1504
yellow_mustard,,yellow mustard,condiment,1.05,,1.05,15,,180,1,,6.0,0,1504
provolone_cheese,,provolone cheese,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,1504
wheat_germ,,wheat germ,cereale,,,0.70,100,,365,1,,6.0,1,1495
half_and_half_cream,,half-and-half cream,laitier,0.99,,1.02,200,,10,0,lactose,3.0,0,1495
dark_chocolate,,dark chocolate,sucrant,,,0.85,20,,730,1,,6.0,0,1489
rice_wine_vinegar,,rice wine vinegar,condiment,1.01,,1.05,15,,180,1,,6.0,0,1483
vodka,,vodka,alcool,,,0.98,750,,730,0,,8.0,0,1482
prosciutto,,prosciutto,viande,,,0.70,150,,3,0,,35.0,1,1481
splenda_granular,,splenda granular,transforme,,,0.80,200,,180,0,,7.0,0,1476
refried_bean,,refried bean,legumineuse,,,0.75,150,,730,1,,3.0,0,1476
cajun_seasoning,,cajun seasoning,epice,,,0.50,2,,730,1,,20.0,0,1470
miniature_marshmallow,,miniature marshmallow,sucrant,,,0.85,20,,730,1,,6.0,0,1456
red_kidney_bean,,red kidney bean,legumineuse,,,0.75,150,,730,1,,3.0,0,1455
pasta_linguine,,linguine,cereale,,,0.70,100,,365,1,gluten,2.2,1,1446
greek_yogurt,,greek yogurt,laitier,1.03,,1.02,200,,10,0,lactose,3.0,0,1445
quick_cooking_oat,,quick-cooking oat,cereale,0.4,,0.70,100,,365,1,gluten,2.5,0,1439
pie_crust,,pie crust,pain,,,0.25,40,,4,0,gluten,8.0,1,1433
mandarin_orange,,mandarin orange,fruit,,150.0,0.65,150,70.0,7,0,,3.5,0,1432
lentil,,lentil,legumineuse,,,0.75,150,,730,1,,3.0,0,1429
lamb,,lamb,viande,,,0.70,150,,3,0,,12.0,0,1426
hamburger_bun,,hamburger bun,viande,,,0.70,150,,3,0,,12.0,0,1414
pimiento,,pimiento,autre,,,0.70,100,,90,0,,5.0,0,1414
oregano_leaf,,oregano leaf,herbe,,,0.25,5,,5,0,,25.0,0,1413
