# Traductions curees des ingredients les plus frequents.
# La traduction automatique s'en sort mal sur le vocabulaire culinaire
# ("all-purpose flour" -> "farine tout usage", qui est du quebecois).
# Ces noms font autorite ; le reste est traduit par modele a l'etape 04.
id,fr
marshmallow,chamallow
mayonnaise,mayonnaise
mustard,moutarde
mustard_dijon,moutarde de Dijon
ketchup,ketchup
soy_sauce,sauce soja
worcestershire,sauce Worcestershire
fish_sauce,nuoc-mam
hot_sauce,sauce piquante
chili_sauce,sauce chili
bbq_sauce,sauce barbecue
salsa,salsa
horseradish,raifort
liquid_smoke,arome fume
vinegar_white,vinaigre blanc
vinegar_cider,vinaigre de cidre
vinegar_balsamic,vinaigre balsamique
vinegar_red_wine,vinaigre de vin rouge
vinegar_white_wine,vinaigre de vin blanc
vinegar_rice,vinaigre de riz
wine_white,vin blanc
wine_red,vin rouge
beer,biere
rum,rhum
brandy,cognac
sherry,xeres
baking_powder,levure chimique
baking_soda,bicarbonate
yeast,levure de boulanger
vanilla_extract,extrait de vanille
almond_extract,extrait d'amande
cream_of_tartar,creme de tartre
soup_mushroom,soupe aux champignons
soup_chicken,soupe au poulet
# Mots que le modele traduit hors du sens culinaire, meme avec un cadre.
date,datte
chip,chips
round,gite de boeuf
shell,fond de tarte
stock,bouillon
bar,barre
dressing,vinaigrette
roll,petit pain
stick,baton
greens,legumes verts
sprout,germe
squash,courge
mince,viande hachee
rocket,roquette
prawn,gambas
rub,melange d'epices
spread,pate a tartiner
topping,garniture
filling,garniture
batter,pate a frire
dough,pate
crust,pate a tarte
peel,zeste
rind,zeste
tip,pointe
marrow,courgette
swede,rutabaga
gammon,jambon
button_mushroom,champignon de Paris
stewed_tomato,tomates mijotees
lime_gelatin,gelatine au citron vert
ketjap_manis,kecap manis
rub_seasoning,melange d'epices a frotter
saltine_crumb,crackers emiettes
mexican_style_stewed_tomato,tomates mijotees a la mexicaine
condensed_cream_of_potato_soup,veloute de pomme de terre condense
grainy_mustard,moutarde a l'ancienne
